iter	MultiClass
0	0.7205692499
1	0.4909741779
2	0.3567587954
3	0.2721734003
4	0.2153800822
5	0.1687308401
6	0.1385243685
7	0.1171088967
8	0.1024877937
9	0.08855456835
10	0.08025924883
11	0.07289547035
12	0.0660549942
13	0.06265262853
14	0.05877599253
15	0.0563843177
16	0.05404289638
17	0.05252412217
18	0.05131415469
19	0.0480990204
20	0.04710019727
21	0.04564516628
22	0.04496001195
23	0.04376250212
24	0.04250454271
25	0.04195513287
26	0.04070493501
27	0.04016685723
28	0.03922561601
29	0.03877122012
30	0.03836113494
31	0.03770619938
32	0.03693431268
33	0.03646311817
34	0.0361356423
35	0.03595268321
36	0.03565415963
37	0.03499842164
38	0.0346713263
39	0.03444871871
40	0.03413257055
41	0.03375297117
42	0.03345284654
43	0.03319800694
44	0.03291134658
45	0.03266470208
46	0.03239218845
47	0.03221768932
48	0.03210831357
49	0.0318536299
50	0.03162470197
51	0.03134555097
52	0.03124508168
53	0.03106817986
54	0.03096882293
55	0.03089584015
56	0.03081822054
57	0.03077493421
58	0.0306859925
59	0.03064951475
60	0.03023912023
61	0.03011979674
62	0.03002736811
63	0.02986426798
64	0.0297160327
65	0.029548769
66	0.02926189727
67	0.02921975974
68	0.02919132235
69	0.02893758772
70	0.02881566541
71	0.02876456878
72	0.02870842559
73	0.02868149603
74	0.02862661583
75	0.02856189248
76	0.02854641987
77	0.02850776197
78	0.02848175697
79	0.02846750748
80	0.0283192363
81	0.02828316974
82	0.02810657685
83	0.02794178154
84	0.02786321034
85	0.02776452483
86	0.02762037189
87	0.02758813914
88	0.02751396284
89	0.0274346372
90	0.027413065
91	0.02739350178
92	0.02736421065
93	0.02733427466
94	0.02729664849
95	0.02728122764
96	0.02715439843
97	0.02706424009
98	0.02703712025
99	0.02700230093
100	0.02688606349
101	0.02686757792
102	0.02681466104
103	0.02679826386
104	0.02663564072
105	0.02653308255
106	0.02648370751
107	0.02643669221
108	0.02636432285
109	0.02630989869
110	0.02625627727
111	0.02619799326
112	0.02609603234
113	0.02606317729
114	0.02604098859
115	0.02599604906
116	0.02595657474
117	0.02593970565
118	0.02592195436
119	0.02584904563
120	0.02583600308
121	0.02580432357
122	0.02573786113
123	0.0257233868
124	0.02564000936
125	0.02562709444
126	0.02560794258
127	0.02559877298
128	0.02557716661
129	0.02557175643
130	0.02554644939
131	0.02551746734
132	0.02549654728
133	0.02546893989
134	0.02539974267
135	0.02537055731
136	0.02529350664
137	0.02519570176
138	0.02516793111
139	0.02512695709
140	0.02510523737
141	0.02507993669
142	0.02506524642
143	0.02503948305
144	0.02502000468
145	0.02500003253
146	0.02495686249
147	0.02490958595
148	0.02489415197
149	0.02488250614
150	0.02487227287
151	0.02484828685
152	0.02483994374
153	0.02482736581
154	0.02480262439
155	0.02478658958
156	0.02473812109
157	0.02471577743
158	0.0247065693
159	0.02469736474
160	0.02469097512
161	0.02468296679
162	0.02466455804
163	0.02459591322
164	0.02458424786
165	0.02456472115
166	0.02455386225
167	0.02450737994
168	0.02448099058
169	0.02447618591
170	0.02446341602
171	0.02445007966
172	0.02443712261
173	0.02442371916
174	0.02441470682
175	0.02437298057
176	0.02436108646
177	0.02433576199
178	0.02426144689
179	0.0242553314
180	0.02418155819
181	0.02414319293
182	0.02412975877
183	0.02412312702
184	0.02410574372
185	0.02409380965
186	0.02407174513
187	0.02404503544
188	0.02399971469
189	0.02398748863
190	0.02398297003
191	0.02390705516
192	0.02387580274
193	0.02387056533
194	0.02386104869
195	0.02384285613
196	0.02383467228
197	0.02382110975
198	0.02379693796
199	0.02378106936
200	0.02377314891
201	0.02376727832
202	0.02374912106
203	0.02373949781
204	0.02372985318
205	0.02371937426
206	0.02371138676
207	0.02370195795
208	0.02368364817
209	0.02366103827
210	0.0236461278
211	0.02363670499
212	0.02361674889
213	0.02359771071
214	0.02356325436
215	0.02355547426
216	0.02351882885
217	0.0235118093
218	0.02349112046
219	0.023486295
220	0.02346440471
221	0.02345268604
222	0.02344665811
223	0.02343601928
224	0.02341983127
225	0.02337213384
226	0.02336561602
227	0.02335909968
228	0.0233502169
229	0.02334604544
230	0.02328289843
231	0.02327610389
232	0.02326809908
233	0.02326073991
234	0.02325238477
235	0.02323139295
236	0.02321703904
237	0.02319878518
238	0.02319015021
239	0.02316156608
240	0.02313874333
241	0.02313606054
242	0.02310968274
243	0.02310432717
244	0.02309502307
245	0.02302799028
246	0.02297732899
247	0.02296870333
248	0.02296101566
249	0.0229534472
250	0.02294000857
251	0.02292680349
252	0.02291999637
253	0.02291670309
254	0.0228633116
255	0.02283058554
256	0.02281776553
257	0.02278474086
258	0.0227761438
259	0.02277257763
260	0.02276826133
261	0.02274132405
262	0.02273574122
263	0.02271836472
264	0.0227035308
265	0.02269893244
266	0.02269146893
267	0.02267437035
268	0.02266577379
269	0.02264990416
270	0.02263238351
271	0.02262301752
272	0.02261486761
273	0.02260752666
274	0.02260336702
275	0.02259034968
276	0.02258306912
277	0.02256911291
278	0.02256013031
279	0.02249892165
280	0.02249293918
281	0.02248224242
282	0.02247988166
283	0.02247573756
284	0.02246558865
285	0.0224604815
286	0.0224430642
287	0.02243778781
288	0.02242781699
289	0.02242468602
290	0.02241841233
291	0.02239739991
292	0.02239395629
293	0.02238916666
294	0.0223812846
295	0.02234402807
296	0.02233567875
297	0.02231517363
298	0.02228804508
299	0.02228305226
